instance,2007_INDU-minisat-sat07,2007_INDU-mxc,2007_INDU-picosat-535
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/13_rule_1/SAT_dat.k30.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/14_rule_2/SAT_dat.k90.cnf,SAT:247.951:247.951:5000.0:0,SAT:1667.4:1667.4:5000.0:0,SAT:145.189:145.189:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/26_rule/SAT_dat.k100.cnf,SAT:0.946855:0.946855:5000.0:0,SAT:1.42778:1.42778:5000.0:0,SAT:6.67198:6.67198:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/28_rule/SAT_dat.k100.cnf,SAT:36.9274:36.9274:5000.0:0,SAT:336.899:336.899:5000.0:0,SAT:22.8685:22.8685:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2002/30_rule/SAT_dat.k55.cnf,TIMEOUT:5000.0:5000.0:5000.0:0,TIMEOUT:5000.0:5000.0:5000.0:0,SAT:111.009:111.009:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2004/01/IBM_FV_2004_rule_batch_01_SAT_dat.k100.cnf,SAT:48.6036:48.6036:5000.0:0,SAT:475.71:475.71:5000.0:0,SAT:201.052:201.052:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2004/01/IBM_FV_2004_rule_batch_01_SAT_dat.k95.cnf,SAT:21.3588:21.3588:5000.0:0,SAT:1644.26:1644.26:5000.0:0,SAT:43.4824:43.4824:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2004/07/IBM_FV_2004_rule_batch_07_SAT_dat.k35.cnf,SAT:2.47062:2.47062:5000.0:0,SAT:185.702:185.702:5000.0:0,SAT:6.45102:6.45102:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2004/07/IBM_FV_2004_rule_batch_07_SAT_dat.k55.cnf,SAT:5.56115:5.56115:5000.0:0,SAT:427.43:427.43:5000.0:0,SAT:34.6387:34.6387:5000.0:0
/global/scratch/v7q8/2012SATInstances/Application_SAT+UNSAT/SATChallenge2012_Application/SATRaceunselected/ibm/2004/07/IBM_FV_2004_rule_batch_07_SAT_dat.k90.cnf,SAT:1.64675:1.64675:5000.0:0,SAT:1752.82:1752.82:5000.0:0,SAT:7.8758:7.8758:5000.0:0
